#--- Experiment --------------------------------------------------------------------------
#KILLIFISH RESPIROMETRY 1 JAN 2
#CHA1: 28PPT 10C
#CHA2: 28PPT 10C
#CHA3: 11PPT 10C
#CHA4: 11PPT 10C
#CHB1: 28PPT 24C
#CHB2: 28PPT 24C
#CHB3: 11PPT 24C
#CHB4: 11PPT 24C
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#LITTLELAB1
#--- Instrument --------------------------------------------------------------------------
#Device: FIRESTING 02 B [B] FSO2-C4 SN:24E144015D64AC82 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [B Ch.2] - Oxygen Sensor - XA7-511-211 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	10% (A)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	2000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	2025-01-20	2024-11-27	21.654402	49.801000	0.804000	0.122000	4000	-0.056000	0.969000	0.900000	0.000000	-0.000303	0.000000	0.000000	fixed f	1017.028015	23.984400	100.000000	23.085000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [B T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [B P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [B Ch.2 Main]	Time [B Ch.2 Main]	 dt (s) [B Ch.2 Main]	Oxygen (%air sat.) [B Ch.2 Main]	dphi (°) [B Ch.2 Main]	Signal Intensity (mV) [B Ch.2 Main]	Ambient Light (mV) [B Ch.2 Main]	Status [B Ch.2 Main]	Date [B Ch.2 CompT]	Time [B Ch.2 CompT]	 dt (s) [B Ch.2 CompT]	Sample Temp. (°C) [B Ch.2 CompT]	Status [B Ch.2 CompT]	Date [B Ch.2 CompP]	Time [B Ch.2 CompP]	 dt (s) [B Ch.2 CompP]	Pressure (mbar) [B Ch.2 CompP]	Status [B Ch.2 CompP]
20-01-2025	18:18:00.395	1.983	99.915	21.666	144	0	OK	20-01-2025	18:18:00.395	1.983	23.941	OK	20-01-2025	18:18:00.395	1.983	1017	OK
20-01-2025	18:18:05.394	6.982	99.957	21.661	144	0	OK	20-01-2025	18:18:05.394	6.982	23.942	OK	20-01-2025	18:18:05.394	6.982	1017	OK
20-01-2025	18:18:10.395	11.983	99.999	21.662	144	0	OK	20-01-2025	18:18:10.395	11.983	23.884	OK	20-01-2025	18:18:10.395	11.983	1017	OK
20-01-2025	18:18:15.400	16.988	100.103	21.647	144	0	OK	20-01-2025	18:18:15.400	16.988	23.919	OK	20-01-2025	18:18:15.400	16.988	1017	OK
20-01-2025	18:18:20.399	21.987	99.978	21.665	144	0	OK	20-01-2025	18:18:20.399	21.987	23.876	OK	20-01-2025	18:18:20.399	21.987	1017	OK
20-01-2025	18:18:25.395	26.983	99.931	21.669	144	0	OK	20-01-2025	18:18:25.395	26.983	23.878	OK	20-01-2025	18:18:25.395	26.983	1017	OK
20-01-2025	18:18:30.397	31.986	99.945	21.669	144	1	OK	20-01-2025	18:18:30.397	31.986	23.868	OK	20-01-2025	18:18:30.397	31.986	1017	OK
20-01-2025	18:18:35.398	36.986	100.011	21.659	144	0	OK	20-01-2025	18:18:35.398	36.986	23.900	OK	20-01-2025	18:18:35.398	36.986	1017	OK
20-01-2025	18:18:40.398	41.986	99.979	21.661	144	0	OK	20-01-2025	18:18:40.398	41.986	23.916	OK	20-01-2025	18:18:40.398	41.986	1017	OK
20-01-2025	18:18:45.398	46.986	99.852	21.673	144	0	OK	20-01-2025	18:18:45.398	46.986	23.938	OK	20-01-2025	18:18:45.398	46.986	1017	OK
20-01-2025	18:18:50.400	51.988	99.946	21.662	144	0	OK	20-01-2025	18:18:50.400	51.988	23.940	OK	20-01-2025	18:18:50.400	51.988	1017	OK
20-01-2025	18:18:55.396	56.984	100.040	21.656	144	1	OK	20-01-2025	18:18:55.396	56.984	23.903	OK	20-01-2025	18:18:55.396	56.984	1017	OK
20-01-2025	18:19:00.401	61.989	99.950	21.664	144	0	OK	20-01-2025	18:19:00.401	61.989	23.925	OK	20-01-2025	18:19:00.401	61.989	1017	OK
20-01-2025	18:19:05.399	66.987	99.966	21.665	144	0	OK	20-01-2025	18:19:05.399	66.987	23.891	OK	20-01-2025	18:19:05.399	66.987	1017	OK
20-01-2025	18:19:10.398	71.986	99.969	21.662	144	0	OK	20-01-2025	18:19:10.398	71.986	23.924	OK	20-01-2025	18:19:10.398	71.986	1017	OK
20-01-2025	18:19:15.401	76.989	99.952	21.664	144	0	OK	20-01-2025	18:19:15.401	76.989	23.908	OK	20-01-2025	18:19:15.401	76.989	1017	OK
20-01-2025	18:19:20.402	81.990	99.972	21.661	144	0	OK	20-01-2025	18:19:20.402	81.990	23.928	OK	20-01-2025	18:19:20.402	81.990	1017	OK
20-01-2025	18:19:25.402	86.990	99.926	21.665	144	0	OK	20-01-2025	18:19:25.402	86.990	23.941	OK	20-01-2025	18:19:25.402	86.990	1017	OK
20-01-2025	18:19:30.401	91.989	99.944	21.666	144	1	OK	20-01-2025	18:19:30.401	91.989	23.905	OK	20-01-2025	18:19:30.401	91.989	1017	OK
20-01-2025	18:19:35.398	96.986	99.997	21.658	144	0	OK	20-01-2025	18:19:35.398	96.986	23.927	OK	20-01-2025	18:19:35.398	96.986	1017	OK
20-01-2025	18:19:40.401	101.989	99.940	21.664	144	0	OK	20-01-2025	18:19:40.401	101.989	23.927	OK	20-01-2025	18:19:40.401	101.989	1017	OK
20-01-2025	18:19:45.400	106.988	100.032	21.663	144	1	OK	20-01-2025	18:19:45.400	106.988	23.826	OK	20-01-2025	18:19:45.400	106.988	1017	OK
20-01-2025	18:19:50.403	111.992	100.046	21.660	144	0	OK	20-01-2025	18:19:50.403	111.992	23.839	OK	20-01-2025	18:19:50.403	111.992	1017	OK
20-01-2025	18:19:55.420	117.008	99.898	21.670	144	0	OK	20-01-2025	18:19:55.420	117.008	23.904	OK	20-01-2025	18:19:55.420	117.008	1017	OK
20-01-2025	18:20:00.402	121.990	99.942	21.669	144	0	OK	20-01-2025	18:20:00.402	121.990	23.873	OK	20-01-2025	18:20:00.402	121.990	1017	OK
20-01-2025	18:20:05.401	126.989	99.921	21.671	144	0	OK	20-01-2025	18:20:05.401	126.989	23.864	OK	20-01-2025	18:20:05.401	126.989	1017	OK
20-01-2025	18:20:10.404	131.992	100.002	21.663	144	0	OK	20-01-2025	18:20:10.404	131.992	23.867	OK	20-01-2025	18:20:10.404	131.992	1017	OK
20-01-2025	18:20:15.403	136.991	100.009	21.660	144	0	OK	20-01-2025	18:20:15.403	136.991	23.882	OK	20-01-2025	18:20:15.403	136.991	1017	OK
20-01-2025	18:20:20.401	141.989	99.994	21.665	144	0	OK	20-01-2025	18:20:20.401	141.989	23.842	OK	20-01-2025	18:20:20.401	141.989	1017	OK
20-01-2025	18:20:25.404	146.992	99.904	21.669	144	0	OK	20-01-2025	18:20:25.404	146.992	23.913	OK	20-01-2025	18:20:25.404	146.992	1017	OK
20-01-2025	18:20:30.403	151.991	99.958	21.663	144	0	OK	20-01-2025	18:20:30.403	151.991	23.918	OK	20-01-2025	18:20:30.403	151.991	1017	OK
20-01-2025	18:20:35.403	156.991	100.028	21.659	144	0	OK	20-01-2025	18:20:35.403	156.991	23.875	OK	20-01-2025	18:20:35.403	156.991	1017	OK
