#--- Experiment --------------------------------------------------------------------------
#KILLIFISH RESPIROMETRY 1 JAN 2
#CHA1: 28PPT 10C
#CHA2: 28PPT 10C
#CHA3: 11PPT 10C
#CHA4: 11PPT 10C
#CHB1: 28PPT 24C
#CHB2: 28PPT 24C
#CHB3: 11PPT 24C
#CHB4: 11PPT 24C
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#LITTLELAB1
#--- Instrument --------------------------------------------------------------------------
#Device: FIRESTING O2 A [A] FSO2-C4 SN:2466C2055D64A795 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#--- Measurement Data --------------------------------------------------------------------
Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]
20-01-2025	18:17:58.455	0.043	10.725	OK
20-01-2025	18:17:59.453	1.041	10.726	OK
20-01-2025	18:18:00.454	2.042	10.728	OK
20-01-2025	18:18:01.453	3.041	10.730	OK
20-01-2025	18:18:02.456	4.044	10.730	OK
20-01-2025	18:18:03.454	5.042	10.729	OK
20-01-2025	18:18:04.453	6.041	10.727	OK
20-01-2025	18:18:05.454	7.042	10.726	OK
20-01-2025	18:18:06.454	8.042	10.725	OK
20-01-2025	18:18:07.454	9.042	10.726	OK
20-01-2025	18:18:08.454	10.042	10.725	OK
20-01-2025	18:18:09.454	11.042	10.724	OK
20-01-2025	18:18:10.454	12.042	10.724	OK
20-01-2025	18:18:11.455	13.043	10.725	OK
20-01-2025	18:18:12.455	14.043	10.728	OK
20-01-2025	18:18:13.456	15.044	10.726	OK
20-01-2025	18:18:14.456	16.044	10.727	OK
20-01-2025	18:18:15.455	17.043	10.725	OK
20-01-2025	18:18:16.456	18.044	10.725	OK
20-01-2025	18:18:17.455	19.043	10.725	OK
20-01-2025	18:18:18.456	20.044	10.724	OK
20-01-2025	18:18:19.456	21.044	10.724	OK
20-01-2025	18:18:20.457	22.045	10.723	OK
20-01-2025	18:18:21.456	23.044	10.722	OK
20-01-2025	18:18:22.457	24.045	10.724	OK
20-01-2025	18:18:23.460	25.048	10.725	OK
20-01-2025	18:18:24.463	26.051	10.725	OK
20-01-2025	18:18:25.458	27.046	10.724	OK
20-01-2025	18:18:26.459	28.047	10.725	OK
20-01-2025	18:18:27.459	29.047	10.723	OK
20-01-2025	18:18:28.459	30.047	10.722	OK
20-01-2025	18:18:29.459	31.047	10.725	OK
20-01-2025	18:18:30.460	32.048	10.727	OK
20-01-2025	18:18:31.460	33.048	10.727	OK
20-01-2025	18:18:32.460	34.048	10.724	OK
20-01-2025	18:18:33.460	35.048	10.726	OK
20-01-2025	18:18:34.459	36.047	10.724	OK
20-01-2025	18:18:35.460	37.048	10.724	OK
20-01-2025	18:18:36.461	38.049	10.725	OK
20-01-2025	18:18:37.461	39.049	10.724	OK
20-01-2025	18:18:38.461	40.049	10.724	OK
20-01-2025	18:18:39.461	41.049	10.723	OK
20-01-2025	18:18:40.460	42.048	10.723	OK
20-01-2025	18:18:41.463	43.051	10.723	OK
20-01-2025	18:18:42.467	44.055	10.722	OK
20-01-2025	18:18:43.464	45.052	10.721	OK
20-01-2025	18:18:44.462	46.050	10.721	OK
20-01-2025	18:18:45.463	47.051	10.722	OK
20-01-2025	18:18:46.463	48.051	10.723	OK
20-01-2025	18:18:47.465	49.053	10.723	OK
20-01-2025	18:18:48.464	50.052	10.720	OK
20-01-2025	18:18:49.465	51.053	10.720	OK
20-01-2025	18:18:50.467	52.055	10.721	OK
20-01-2025	18:18:51.467	53.055	10.723	OK
20-01-2025	18:18:52.471	54.059	10.724	OK
20-01-2025	18:18:53.468	55.056	10.723	OK
20-01-2025	18:18:54.469	56.057	10.723	OK
20-01-2025	18:18:55.468	57.056	10.720	OK
20-01-2025	18:18:56.471	58.059	10.719	OK
20-01-2025	18:18:57.473	59.061	10.719	OK
20-01-2025	18:18:58.474	60.062	10.721	OK
20-01-2025	18:18:59.477	61.065	10.722	OK
20-01-2025	18:19:00.476	62.064	10.722	OK
20-01-2025	18:19:01.476	63.064	10.722	OK
20-01-2025	18:19:02.477	64.065	10.719	OK
20-01-2025	18:19:03.477	65.065	10.719	OK
20-01-2025	18:19:04.478	66.066	10.719	OK
20-01-2025	18:19:05.477	67.066	10.722	OK
20-01-2025	18:19:06.478	68.066	10.720	OK
20-01-2025	18:19:07.479	69.067	10.721	OK
20-01-2025	18:19:08.479	70.067	10.719	OK
20-01-2025	18:19:09.479	71.067	10.719	OK
20-01-2025	18:19:10.479	72.067	10.718	OK
20-01-2025	18:19:11.479	73.067	10.719	OK
20-01-2025	18:19:12.481	74.069	10.722	OK
20-01-2025	18:19:13.482	75.070	10.724	OK
20-01-2025	18:19:14.482	76.070	10.723	OK
20-01-2025	18:19:15.482	77.070	10.723	OK
20-01-2025	18:19:16.483	78.071	10.722	OK
20-01-2025	18:19:17.482	79.071	10.723	OK
20-01-2025	18:19:18.483	80.071	10.724	OK
