#--- Experiment --------------------------------------------------------------------------
#KILLIFISH RESPIROMETRY 1 JAN 2
#CHA1: 28PPT 10C
#CHA2: 28PPT 10C
#CHA3: 11PPT 10C
#CHA4: 11PPT 10C
#CHB1: 28PPT 24C
#CHB2: 28PPT 24C
#CHB3: 11PPT 24C
#CHB4: 11PPT 24C
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#LITTLELAB1
#--- Instrument --------------------------------------------------------------------------
#Device: FIRESTING 02 B [B] FSO2-C4 SN:24E144015D64AC82 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [B Ch.4] - Oxygen Sensor - XA7-511-211 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	10% (A)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	2000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	2025-01-20	2024-11-27	21.722866	50.913000	0.804000	0.122000	4000	-0.056000	0.969000	0.900000	0.000000	-0.000303	0.000000	0.000000	fixed f	1017.046997	23.929869	100.000000	23.205000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [B T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [B P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [B Ch.4 Main]	Time [B Ch.4 Main]	 dt (s) [B Ch.4 Main]	Oxygen (%air sat.) [B Ch.4 Main]	dphi (°) [B Ch.4 Main]	Signal Intensity (mV) [B Ch.4 Main]	Ambient Light (mV) [B Ch.4 Main]	Status [B Ch.4 Main]	Date [B Ch.4 CompT]	Time [B Ch.4 CompT]	 dt (s) [B Ch.4 CompT]	Sample Temp. (°C) [B Ch.4 CompT]	Status [B Ch.4 CompT]	Date [B Ch.4 CompP]	Time [B Ch.4 CompP]	 dt (s) [B Ch.4 CompP]	Pressure (mbar) [B Ch.4 CompP]	Status [B Ch.4 CompP]
20-01-2025	18:18:00.500	2.088	99.884	21.734	286	0	OK	20-01-2025	18:18:00.500	2.088	23.942	OK	20-01-2025	18:18:00.500	2.088	1017	OK
20-01-2025	18:18:05.497	7.085	99.867	21.736	286	0	OK	20-01-2025	18:18:05.497	7.085	23.942	OK	20-01-2025	18:18:05.497	7.085	1017	OK
20-01-2025	18:18:10.498	12.086	99.955	21.731	286	0	OK	20-01-2025	18:18:10.498	12.086	23.884	OK	20-01-2025	18:18:10.498	12.086	1017	OK
20-01-2025	18:18:15.505	17.093	99.795	21.745	286	0	OK	20-01-2025	18:18:15.505	17.093	23.921	OK	20-01-2025	18:18:15.505	17.093	1017	OK
20-01-2025	18:18:20.503	22.091	99.883	21.740	286	0	OK	20-01-2025	18:18:20.503	22.091	23.876	OK	20-01-2025	18:18:20.503	22.091	1017	OK
20-01-2025	18:18:25.500	27.088	99.897	21.738	286	0	OK	20-01-2025	18:18:25.500	27.088	23.878	OK	20-01-2025	18:18:25.500	27.088	1017	OK
20-01-2025	18:18:30.501	32.089	99.961	21.732	286	0	OK	20-01-2025	18:18:30.501	32.089	23.868	OK	20-01-2025	18:18:30.501	32.089	1017	OK
20-01-2025	18:18:35.502	37.090	99.893	21.736	286	0	OK	20-01-2025	18:18:35.502	37.090	23.900	OK	20-01-2025	18:18:35.502	37.090	1017	OK
20-01-2025	18:18:40.503	42.091	99.929	21.731	286	0	OK	20-01-2025	18:18:40.503	42.091	23.916	OK	20-01-2025	18:18:40.503	42.091	1017	OK
20-01-2025	18:18:45.504	47.092	99.848	21.738	286	0	OK	20-01-2025	18:18:45.504	47.092	23.939	OK	20-01-2025	18:18:45.504	47.092	1017	OK
20-01-2025	18:18:50.504	52.092	99.777	21.746	286	0	OK	20-01-2025	18:18:50.504	52.092	23.940	OK	20-01-2025	18:18:50.504	52.092	1017	OK
20-01-2025	18:18:55.503	57.091	99.924	21.733	286	0	OK	20-01-2025	18:18:55.503	57.091	23.903	OK	20-01-2025	18:18:55.503	57.091	1017	OK
20-01-2025	18:19:00.505	62.093	99.868	21.737	286	0	OK	20-01-2025	18:19:00.505	62.093	23.926	OK	20-01-2025	18:19:00.505	62.093	1017	OK
20-01-2025	18:19:05.501	67.090	99.874	21.740	286	0	OK	20-01-2025	18:19:05.501	67.090	23.891	OK	20-01-2025	18:19:05.501	67.090	1017	OK
20-01-2025	18:19:10.503	72.091	99.796	21.745	286	0	OK	20-01-2025	18:19:10.503	72.091	23.924	OK	20-01-2025	18:19:10.503	72.091	1017	OK
20-01-2025	18:19:15.506	77.095	99.940	21.730	286	0	OK	20-01-2025	18:19:15.506	77.095	23.908	OK	20-01-2025	18:19:15.506	77.095	1017	OK
20-01-2025	18:19:20.507	82.095	99.895	21.734	286	0	OK	20-01-2025	18:19:20.507	82.095	23.928	OK	20-01-2025	18:19:20.507	82.095	1017	OK
20-01-2025	18:19:25.506	87.094	99.841	21.739	286	0	OK	20-01-2025	18:19:25.506	87.094	23.941	OK	20-01-2025	18:19:25.506	87.094	1017	OK
20-01-2025	18:19:30.508	92.096	99.900	21.736	286	0	OK	20-01-2025	18:19:30.508	92.096	23.901	OK	20-01-2025	18:19:30.508	92.096	1017	OK
20-01-2025	18:19:35.502	97.090	99.817	21.743	286	0	OK	20-01-2025	18:19:35.502	97.090	23.927	OK	20-01-2025	18:19:35.502	97.090	1017	OK
20-01-2025	18:19:40.506	102.094	99.929	21.730	286	0	OK	20-01-2025	18:19:40.506	102.094	23.927	OK	20-01-2025	18:19:40.506	102.094	1017	OK
20-01-2025	18:19:45.508	107.097	100.028	21.728	286	0	OK	20-01-2025	18:19:45.508	107.097	23.823	OK	20-01-2025	18:19:45.508	107.097	1017	OK
20-01-2025	18:19:50.510	112.098	99.976	21.731	286	0	OK	20-01-2025	18:19:50.510	112.098	23.841	OK	20-01-2025	18:19:50.510	112.098	1017	OK
20-01-2025	18:19:55.525	117.113	99.907	21.734	286	0	OK	20-01-2025	18:19:55.525	117.113	23.904	OK	20-01-2025	18:19:55.525	117.113	1017	OK
20-01-2025	18:20:00.506	122.094	99.995	21.727	286	0	OK	20-01-2025	18:20:00.506	122.094	23.873	OK	20-01-2025	18:20:00.506	122.094	1017	OK
20-01-2025	18:20:05.504	127.092	99.884	21.740	286	0	OK	20-01-2025	18:20:05.504	127.092	23.864	OK	20-01-2025	18:20:05.504	127.092	1017	OK
20-01-2025	18:20:10.506	132.094	99.904	21.738	286	0	OK	20-01-2025	18:20:10.506	132.094	23.867	OK	20-01-2025	18:20:10.506	132.094	1017	OK
20-01-2025	18:20:15.507	137.095	99.880	21.739	286	0	OK	20-01-2025	18:20:15.507	137.095	23.879	OK	20-01-2025	18:20:15.507	137.095	1017	OK
20-01-2025	18:20:20.505	142.093	99.887	21.742	286	0	OK	20-01-2025	18:20:20.505	142.093	23.842	OK	20-01-2025	18:20:20.505	142.093	1017	OK
20-01-2025	18:20:25.508	147.096	99.819	21.743	286	0	OK	20-01-2025	18:20:25.508	147.096	23.913	OK	20-01-2025	18:20:25.508	147.096	1017	OK
20-01-2025	18:20:30.507	152.095	99.875	21.737	286	0	OK	20-01-2025	18:20:30.507	152.095	23.916	OK	20-01-2025	18:20:30.507	152.095	1017	OK
20-01-2025	18:20:35.506	157.094	99.919	21.736	286	0	OK	20-01-2025	18:20:35.506	157.094	23.875	OK	20-01-2025	18:20:35.506	157.094	1017	OK
20-01-2025	18:20:40.510	162.098	99.915	21.732	286	0	OK	20-01-2025	18:20:40.510	162.098	23.918	OK	20-01-2025	18:20:40.510	162.098	1017	OK
20-01-2025	18:20:45.526	167.114	99.790	21.742	286	0	OK	20-01-2025	18:20:45.526	167.114	23.956	OK	20-01-2025	18:20:45.526	167.114	1017	OK
20-01-2025	18:20:50.510	172.098	99.778	21.744	286	0	OK	20-01-2025	18:20:50.510	172.098	23.948	OK	20-01-2025	18:20:50.510	172.098	1017	OK
20-01-2025	18:20:55.507	177.095	99.877	21.735	286	0	OK	20-01-2025	18:20:55.507	177.095	23.927	OK	20-01-2025	18:20:55.507	177.095	1017	OK
20-01-2025	18:21:00.508	182.096	99.857	21.740	286	0	OK	20-01-2025	18:21:00.508	182.096	23.900	OK	20-01-2025	18:21:00.508	182.096	1017	OK
20-01-2025	18:21:05.512	187.100	99.811	21.744	286	0	OK	20-01-2025	18:21:05.512	187.100	23.911	OK	20-01-2025	18:21:05.512	187.100	1017	OK
20-01-2025	18:21:10.512	192.100	99.866	21.739	286	0	OK	20-01-2025	18:21:10.512	192.100	23.895	OK	20-01-2025	18:21:10.512	192.100	1017	OK
20-01-2025	18:21:15.509	197.097	99.928	21.733	286	0	OK	20-01-2025	18:21:15.509	197.097	23.887	OK	20-01-2025	18:21:15.509	197.097	1017	OK
20-01-2025	18:21:20.509	202.097	99.878	21.738	286	0	OK	20-01-2025	18:21:20.509	202.097	23.894	OK	20-01-2025	18:21:20.509	202.097	1017	OK
20-01-2025	18:21:25.511	207.099	99.869	21.742	286	0	OK	20-01-2025	18:21:25.511	207.099	23.867	OK	20-01-2025	18:21:25.511	207.099	1017	OK
20-01-2025	18:21:30.509	212.097	99.890	21.740	286	0	OK	20-01-2025	18:21:30.509	212.097	23.860	OK	20-01-2025	18:21:30.509	212.097	1017	OK
20-01-2025	18:21:35.513	217.102	99.833	21.742	286	0	OK	20-01-2025	18:21:35.513	217.102	23.897	OK	20-01-2025	18:21:35.513	217.102	1017	OK
20-01-2025	18:21:40.511	222.099	99.936	21.728	286	0	OK	20-01-2025	18:21:40.511	222.099	23.928	OK	20-01-2025	18:21:40.511	222.099	1017	OK
20-01-2025	18:21:45.513	227.101	99.830	21.743	286	0	OK	20-01-2025	18:21:45.513	227.101	23.894	OK	20-01-2025	18:21:45.513	227.101	1017	OK
20-01-2025	18:21:50.511	232.099	99.847	21.741	286	0	OK	20-01-2025	18:21:50.511	232.099	23.890	OK	20-01-2025	18:21:50.511	232.099	1017	OK
