#--- Experiment --------------------------------------------------------------------------
#KILLIFISH RESPIROMETRY 1 JAN 2
#CHA1: 28PPT 10C
#CHA2: 28PPT 10C
#CHA3: 11PPT 10C
#CHA4: 11PPT 10C
#CHB1: 28PPT 24C
#CHB2: 28PPT 24C
#CHB3: 11PPT 24C
#CHB4: 11PPT 24C
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#LITTLELAB1
#--- Instrument --------------------------------------------------------------------------
#Device: FIRESTING 02 B [B] FSO2-C4 SN:24E144015D64AC82 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [B T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#--- Measurement Data --------------------------------------------------------------------
Date [B T1]	Time [B T1]	 dt (s) [B T1]	Sample Temp. (°C) [B T1]	Status [B T1]
20-01-2025	18:17:58.452	0.040	23.935	OK
20-01-2025	18:17:59.453	1.041	23.937	OK
20-01-2025	18:18:00.664	2.252	23.942	OK
20-01-2025	18:18:01.455	3.043	23.943	OK
20-01-2025	18:18:02.455	4.043	23.945	OK
20-01-2025	18:18:03.455	5.043	23.948	OK
20-01-2025	18:18:04.456	6.044	23.948	OK
20-01-2025	18:18:05.664	7.252	23.941	OK
20-01-2025	18:18:06.456	8.044	23.927	OK
20-01-2025	18:18:07.456	9.044	23.910	OK
20-01-2025	18:18:08.455	10.043	23.896	OK
20-01-2025	18:18:09.456	11.044	23.888	OK
20-01-2025	18:18:10.663	12.251	23.885	OK
20-01-2025	18:18:11.459	13.047	23.887	OK
20-01-2025	18:18:12.459	14.047	23.892	OK
20-01-2025	18:18:13.459	15.047	23.903	OK
20-01-2025	18:18:14.460	16.048	23.914	OK
20-01-2025	18:18:15.670	17.258	23.923	OK
20-01-2025	18:18:16.459	18.048	23.922	OK
20-01-2025	18:18:17.460	19.048	23.918	OK
20-01-2025	18:18:18.461	20.049	23.907	OK
20-01-2025	18:18:19.460	21.048	23.891	OK
20-01-2025	18:18:20.667	22.255	23.872	OK
20-01-2025	18:18:21.461	23.049	23.859	OK
20-01-2025	18:18:22.461	24.049	23.850	OK
20-01-2025	18:18:23.461	25.049	23.850	OK
20-01-2025	18:18:24.464	26.052	23.863	OK
20-01-2025	18:18:25.664	27.253	23.881	OK
20-01-2025	18:18:26.464	28.052	23.889	OK
20-01-2025	18:18:27.464	29.052	23.885	OK
20-01-2025	18:18:28.464	30.052	23.879	OK
20-01-2025	18:18:29.464	31.052	23.870	OK
20-01-2025	18:18:30.665	32.253	23.867	OK
20-01-2025	18:18:31.464	33.052	23.872	OK
20-01-2025	18:18:32.464	34.052	23.878	OK
20-01-2025	18:18:33.464	35.052	23.888	OK
